Player,Role,Amount,Team,Year,Player Origin
Pawan Suyal,Bowler,1000000,DC,2016,Indian
Peter Handscomb,Batter,3000000,RPSG,2016,Overseas
Philip Hughes,Batter,7500000,MI,2013,Overseas
Piyush Chawla,Bowler,42500000,KKR,2014,Indian
Piyush Chawla,Bowler,42000000,KKR,2018,Indian
Piyush Chawla,Bowler,67500000,CSK,2020,Indian
Piyush Chawla,Bowler,24000000,MI,2021,Indian
Prabhsimran Singh,Batter,48000000,PBKS,2019,Indian
Prabhsimran Singh,Batter,5500000,PBKS,2020,Indian
Prabhsimran Singh,Batter,6000000,PBKS,2022,Indian
Pradeep Sangwan,All-Rounder,2000000,GL,2016,Indian
Pradeep Sangwan,Bowler,15000000,MI,2018,Indian
Pradeep Sangwan,All-Rounder,2000000,GT,2022,Indian
Pragyan Ojha,Bowler,32500000,MI,2014,Indian
Pragyan Ojha,Bowler,5000000,MI,2015,Indian
Prasanth Padmanabhan,All-Rounder,1000000,SRH,2015,Indian
Prasanth Parameswaran,Bowler,3000000,SRH,2014,Indian
Prashant Chopra,Batter,2000000,RR,2018,Indian
Prashant Solanki,Bowler,12000000,CSK,2022,Indian
Prasidh Krishna,Bowler,100000000,RR,2022,Indian
Pratham Singh,All-Rounder,1000000,GL,2017,Indian
Pratham Singh,Batter,2000000,KKR,2022,Indian
Pratyush Singh,All-Rounder,1000000,CSK,2015,Indian
Pratyush Singh,All-Rounder,1000000,DC,2016,Indian
Praveen Dubey,All-Rounder,3500000,RCB,2016,Indian
Praveen Dubey,All-Rounder,1000000,RCB,2017,Indian
Praveen Kumar,Bowler,22000000,SRH,2015,Indian
Praveen Kumar,Bowler,35000000,GL,2016,Indian
Pravin Dubey,All-Rounder,5000000,DC,2022,Indian
Pravin Tambe,Bowler,1000000,RR,2014,Indian
Pravin Tambe,Bowler,2000000,GL,2016,Indian
Pravin Tambe,Bowler,1000000,SRH,2017,Indian
Pravin Tambe,Bowler,2000000,KKR,2020,Indian
Prayas Ray Barman,All-Rounder,15000000,RCB,2019,Indian
Prerak Mankad,All-Rounder,2000000,PBKS,2022,Indian
Prince Balwant Rai Singh,All-Rounder,2000000,MI,2020,Indian
Prithvi Raj Yarra,Bowler,2000000,KKR,2019,Indian
Prithvi Shaw,Batter,12000000,DC,2018,Indian
Priyam Garg,Batter,19000000,SRH,2020,Indian
Priyam Garg,Batter,2000000,SRH,2022,Indian
Quinton De Kock,Batter,1500000,SRH,2013,Overseas
Quinton De Kock,Batter,35000000,DC,2014,Overseas
Quinton De Kock,Batter,28000000,RCB,2018,Overseas
Quinton De Kock,Batter,67500000,LSG,2022,Overseas
R Samarth,Batter,2000000,SRH,2022,Indian
R. Ashwin,All-Rounder,50000000,RR,2022,Indian
R. Sai Kishore,Bowler,2000000,CSK,2020,Indian
R. Sai Kishore,Bowler,30000000,GT,2022,Indian
R. Sanjay Yadav,All-Rounder,1000000,KKR,2017,Indian
Rahul Ajay Tripathi,All-Rounder,1000000,RPSG,2017,Indian
Rahul Buddhi,Batter,2000000,MI,2022,Indian
Rahul Chahar,Bowler,1000000,RPSG,2017,Indian
Rahul Chahar,Bowler,19000000,MI,2018,Indian
Rahul Chahar,Bowler,52500000,PBKS,2022,Indian
Rahul Sharma,Bowler,19000000,DC,2014,Indian
Rahul Sharma,Bowler,3000000,CSK,2015,Indian
Rahul Shukla,Bowler,4000000,DC,2014,Indian
Rahul Tewatia,All-Rounder,1000000,RR,2014,Indian
Rahul Tewatia,All-Rounder,2500000,PBKS,2017,Indian
Rahul Tewatia,All-Rounder,30000000,DC,2018,Indian
Rahul Tewatia,All-Rounder,90000000,GT,2022,Indian
Rahul Tripathi,Batter,34000000,RR,2018,Indian
Rahul Tripathi,Batter,6000000,KKR,2020,Indian
Rahul Tripathi,Batter,85000000,SRH,2022,Indian
Raj Angad Bawa,All-Rounder,20000000,PBKS,2022,Indian
Rajagopal Sathish,All-Rounder,2000000,KKR,2016,Indian
Rajat Bhatia,All-Rounder,17000000,RR,2014,Indian
Rajat Bhatia,All-Rounder,6000000,RPSG,2016,Indian
Rajat Patidar,Batter,2000000,RCB,2021,Indian
Rajvardhan Hangargekar,All-Rounder,15000000,CSK,2022,Indian
Ramandeep Singh,All-Rounder,2000000,MI,2022,Indian
Ramesh Kumar,Batter,2000000,KKR,2022,Indian
Ranganath Vinay Kumar,Bowler,28000000,KKR,2014,Indian
Ranganath Vinay Kumar,Bowler,10000000,KKR,2018,Indian
Rashid Khan Arman,Bowler,40000000,SRH,2017,Overseas
Rashid Khan Arman,Bowler,90000000,SRH,2018,Overseas
Rasikh Dar,Bowler,2000000,MI,2019,Indian
Rasikh Dar,Bowler,2000000,KKR,2022,Indian
Rassie Van Der Dussen,Batter,10000000,RR,2022,Overseas
Ravi Bishnoi,Bowler,20000000,PBKS,2020,Indian
Ravi Bopara,All-Rounder,10000000,SRH,2015,Indian
Ravi Rampaul,Bowler,21750000,RCB,2013,Overseas
Ravi Rampaul,Bowler,9000000,RCB,2014,Overseas
Ravichandran Ashwin,All-Rounder,76000000,PBKS,2018,Overseas
Ricky Bhui,Batter,1000000,SRH,2014,Overseas
Ricky Bhui,Batter,2000000,SRH,2018,Overseas
Ricky Ponting,Batter,30000000,MI,2013,Overseas
Riley Meredith,Bowler,80000000,PBKS,2021,Overseas
Riley Meredith,Bowler,10000000,MI,2022,Overseas
Rinku Singh,Batter,1000000,PBKS,2017,Indian
Rinku Singh,Batter,8000000,KKR,2018,Indian
Rinku Singh,Batter,5500000,KKR,2022,Indian
Ripal Patel,All-Rounder,2000000,DC,2021,Indian
Ripal Patel,All-Rounder,2000000,DC,2022,Indian
Rishabh Pant,Batter,19000000,DC,2016,Indian
Rishi Dhawan,All-Rounder,30000000,PBKS,2014,Indian
Rishi Dhawan,All-Rounder,5500000,KKR,2017,Indian
Rishi Dhawan,All-Rounder,5500000,PBKS,2022,Indian
Riyan Parag,All-Rounder,2000000,RR,2019,Indian
Riyan Parag,All-Rounder,38000000,RR,2022,Indian
Robin Uthappa,Batter,50000000,KKR,2014,Indian
Robin Uthappa,Batter,64000000,KKR,2018,Indian
Robin Uthappa,Batter,30000000,RR,2020,Indian
Robin Uthappa,Batter,20000000,CSK,2022,Indian
Romario Shepherd,All-Rounder,77500000,SRH,2022,Overseas
Ronit More,Bowler,1000000,CSK,2014,Indian
Ross Taylor,Batter,20000000,DC,2014,Overseas
Rovman Powell,All-Rounder,3000000,KKR,2017,Overseas
Rovman Powell,Batter,28000000,DC,2022,Overseas
Rudra Pratap Singh,Bowler,30000000,RCB,2013,Indian
Rudra Pratap Singh,Bowler,3000000,RPSG,2016,Indian
Ruturaj Gaikwad,Batter,2000000,CSK,2019,Indian
Ryan McLaren,Bowler,3750000,KKR,2013,Overseas
Ryan Ten Doeschate,All-Rounder,10000000,KKR,2014,Overseas
Sachin Baby,Batter,1000000,RCB,2016,Indian
Sachin Baby,Batter,2000000,SRH,2018,Indian
Sachin Baby,Batter,2000000,RCB,2021,Indian
Sachin Rana,Bowler,2000000,RCB,2014,Indian
Sachithra Senanayaka,All-Rounder,46875000,KKR,2013,Overseas
Sagar Trivedi,All-Rounder,1000000,RR,2015,Indian
Sam Billings,Batter,3000000,DC,2016,Overseas
Sam Billings,Batter,10000000,CSK,2018,Overseas
Sam Billings,Batter,20000000,DC,2021,Overseas
Sam Billings,Batter,20000000,KKR,2022,Overseas
Sam Curran,All-Rounder,72000000,PBKS,2019,Overseas
Sam Curran,All-Rounder,55000000,CSK,2020,Overseas
Samuel Badree,Bowler,3000000,CSK,2014,Overseas
Samuel Badree,Bowler,5000000,RCB,2016,Overseas
Sandeep Bavanaka,All-Rounder,2000000,SRH,2020,Overseas
Sandeep Lamichhane,Bowler,2000000,DC,2018,Overseas
Sandeep Sharma,Bowler,8500000,PBKS,2014,Indian
Sandeep Sharma,Bowler,30000000,SRH,2018,Indian
Sandeep Sharma,Bowler,5000000,PBKS,2022,Indian
Sandeep Warrier,Bowler,1000000,RCB,2014,Indian
Sanjay Yadav,All-Rounder,2000000,SRH,2020,Indian
Sanjay Yadav,All-Rounder,5000000,MI,2022,Indian
Sanju Samson,Batter,42000000,DC,2016,Indian
Sanju Samson,Batter,80000000,RR,2018,Indian
Sarabjit Ladda,Bowler,1000000,GL,2016,Indian
Sarfaraz Khan,All-Rounder,2000000,DC,2022,Indian
Sarfaraz Naushad Khan,Batter,5000000,RCB,2015,Indian
Sarfaraz Naushad Khan,All-Rounder,2500000,PBKS,2019,Indian
Saurabh Dubey,Bowler,2000000,SRH,2022,Indian
Saurabh Kumar,Bowler,1000000,RPSG,2017,Indian
Saurabh Kumar,All-Rounder,2000000,PBKS,2021,Indian
Saurabh Tiwary,Batter,7000000,DC,2014,Indian
Saurabh Tiwary,Batter,3000000,MI,2017,Indian
Saurabh Tiwary,Batter,8000000,MI,2018,Indian
Saurabh Tiwary,Batter,5000000,MI,2020,Indian
Sayan Ghosh,Bowler,1000000,KKR,2017,Indian
Sayan Ghosh,Bowler,2000000,DC,2018,Indian
Sayan Sekhar Mandal,All-Rounder,1000000,KKR,2014,Indian
Scott Boland,Bowler,5000000,RPSG,2016,Overseas
Sean Abbott,Bowler,10000000,RCB,2015,Overseas
Sean Abbott,Bowler,24000000,SRH,2022,Overseas
Shadab Jakati,Bowler,2000000,RCB,2014,Indian
Shadab Jakati,All-Rounder,2000000,GL,2016,Indian
Shahbaz Ahamad,Batter,2000000,RCB,2020,Indian
Shahbaz Ahamad,All-Rounder,24000000,RCB,2022,Indian
Shahbaz Nadeem,Bowler,8500000,DC,2014,Indian
Shahbaz Nadeem,Bowler,32000000,DC,2018,Indian
Shahbaz Nadeem,Bowler,5000000,LSG,2022,Indian
Shahrukh Khan,All-Rounder,52500000,PBKS,2021,Indian
Shahrukh Khan,All-Rounder,90000000,PBKS,2022,Indian
Shakib Al Hasan,All-Rounder,28000000,KKR,2014,Overseas
Shakib Al Hasan,All-Rounder,20000000,SRH,2018,Overseas
Shakib Al Hasan,All-Rounder,32000000,KKR,2021,Overseas
Shane Watson,All-Rounder,95000000,RCB,2016,Overseas
Shane Watson,All-Rounder,40000000,CSK,2018,Overseas
Sharad Lumba,Batter,2000000,MI,2018,Indian
Shardul Thakur,Bowler,2000000,PBKS,2014,Indian
Shardul Thakur,Bowler,26000000,CSK,2018,Indian
Shardul Thakur,Bowler,107500000,DC,2022,Indian
Shashank Singh,All-Rounder,1000000,DC,2017,Indian
Shashank Singh,All-Rounder,3000000,RR,2019,Indian
Shashank Singh,All-Rounder,2000000,SRH,2022,Indian
Shaun Marsh,Batter,22000000,PBKS,2014,Overseas
Sheldon Cottrell,Bowler,85000000,PBKS,2020,Overseas
Sheldon Jackson,Batter,1500000,KKR,2015,Indian
Sheldon Jackson,Batter,2000000,KKR,2021,Indian
Sheldon Jackson,Batter,6000000,KKR,2022,Indian
Shelley Shaurya,Bowler,1000000,GL,2017,Indian
Sherfane Rutherford,All-Rounder,20000000,DC,2019,Overseas
Sherfane Rutherford,All-Rounder,10000000,RCB,2022,Overseas
Shikhar Dhawan,Batter,52000000,SRH,2018,Indian
Shikhar Dhawan,Batter,82500000,PBKS,2022,Indian
Shimron Hetmyer,Batter,42000000,RCB,2019,Overseas
Shimron Hetmyer,Batter,77500000,DC,2020,Overseas
Shimron Hetmyer,Batter,85000000,RR,2022,Overseas
Shishir Bhavane,Batter,1000000,RCB,2015,Indian
Shivam Dube,All-Rounder,50000000,RCB,2019,Indian
Shivam Dube,All-Rounder,44000000,RR,2021,Indian
Shivam Dube,All-Rounder,40000000,CSK,2022,Indian
Shivam Mavi,All-Rounder,30000000,KKR,2018,Indian
Shivam Mavi,All-Rounder,72500000,KKR,2022,Indian
Shivam Sharma,Bowler,1000000,PBKS,2014,Indian
Shivil Kaushik,Bowler,1000000,GL,2016,Indian
Shreevats Goswami,Batter,10000000,SRH,2018,Indian
Shreyas Gopal,Bowler,1000000,MI,2014,Indian
Shreyas Gopal,All-Rounder,2000000,RR,2018,Indian
Shreyas Gopal,Bowler,7500000,SRH,2022,Indian
Shreyas Iyer,Batter,26000000,DC,2015,Indian
Shreyas Iyer,Batter,122500000,KKR,2022,Indian
Shrikant Mundhe,All-Rounder,2000000,KKR,2019,Indian
Shubam Agrawal,All-Rounder,1000000,GL,2017,Indian
Shubham Garhwal,All-Rounder,2000000,RR,2022,Indian
Shubham Ranjane,All-Rounder,2000000,RR,2019,Indian
Shubman Gill,Batter,18000000,KKR,2018,Indian
Siddarth Kaul,Bowler,4500000,DC,2014,Indian
Siddarth Kaul,Bowler,1000000,SRH,2015,Indian
Siddarth Kaul,Bowler,38000000,SRH,2018,Indian
Siddharth Kaul,Bowler,7500000,RCB,2022,Indian
Siddhesh Dinesh Lad,All-Rounder,1000000,MI,2015,Indian
Siddhesh Dinesh Lad,Batter,2000000,MI,2018,Indian
Simarjeet Singh,Bowler,2000000,CSK,2022,Indian
Srikkanth Anirudha,Batter,2000000,SRH,2014,Indian
Steven Smith,All-Rounder,40000000,RR,2014,Overseas
Steven Smith,Batter,22000000,DC,2021,Overseas
Stuart Binny,All-Rounder,20000000,RCB,2016,Indian
Stuart Binny,All-Rounder,5000000,RR,2018,Indian
Subhranshu Senapati,Batter,2000000,CSK,2022,Indian
Subramaniam Badrinath,Batter,3000000,RCB,2015,Indian
Sudeep Tyagi,Bowler,7500000,SRH,2013,Indian
Sumit Narwal,All-Rounder,1000000,KKR,2015,Indian
Suryakumar Yadav,Batter,7000000,KKR,2014,Indian
Suryakumar Yadav,Batter,32000000,MI,2018,Indian
Sushant Marathe,Batter,1000000,MI,2014,Indian
Suyash Prabhudesai,All-Rounder,2000000,RCB,2021,Indian
Suyash Prabhudessai,All-Rounder,3000000,RCB,2022,Indian
Swapnil Singh,All-Rounder,1000000,PBKS,2016,Indian
Syed Khaleel Ahmed,All-Rounder,1000000,DC,2016,Indian
Syed Khaleel Ahmed,Bowler,30000000,SRH,2018,Indian
Syed Khaleel Ahmed,Bowler,52500000,DC,2022,Indian
Syed Mehdi Hasan,All-Rounder,2000000,SRH,2018,Indian
T Natarajan,Bowler,30000000,PBKS,2017,Indian
T Natarajan,Bowler,4000000,SRH,2018,Indian
T. Natarajan,Bowler,40000000,SRH,2022,Indian
Tajinder Dhillon,All-Rounder,5500000,MI,2018,Indian
Tajinder Dhillon,All-Rounder,2000000,PBKS,2020,Indian
Tanmay Agarwal,Batter,1000000,SRH,2017,Indian
Tanmay Agarwal,Batter,2000000,SRH,2018,Indian
Tanmay Mishra,Batter,1000000,RCB,2014,Indian
Tejas Baroka,Bowler,2000000,RR,2022,Indian
Tejas Singh Baroka,Bowler,1000000,GL,2017,Indian
Thisara Perera,All-Rounder,50625000,SRH,2013,Overseas
Thisara Perera,All-Rounder,16000000,PBKS,2014,Overseas
Thisara Perera,All-Rounder,10000000,RPSG,2016,Overseas
Tim David,All-Rounder,82500000,MI,2022,Overseas
Tim Seifert,Batter,5000000,DC,2022,Overseas
Tim Southee,Bowler,12000000,RR,2014,Overseas
Tim Southee,Bowler,25000000,MI,2016,Overseas
Tim Southee,Bowler,10000000,RCB,2018,Overseas
Tim Southee,Bowler,15000000,KKR,2022,Overseas
Tirumalasetti Suman,Batter,1000000,SRH,2016,Indian
Tom Banton,Batter,10000000,KKR,2020,Overseas
Tom Curran,All-Rounder,10000000,RR,2020,Overseas
Tom Curran,All-Rounder,52500000,DC,2021,Overseas
Travis Head,Batter,3000000,DC,2015,Overseas
Travis Head,Batter,5000000,RCB,2016,Overseas
Trent Boult,Bowler,38000000,SRH,2015,Overseas
Trent Boult,Bowler,50000000,KKR,2017,Overseas
Trent Boult,Bowler,22000000,DC,2018,Overseas
Trent Boult,Bowler,80000000,RR,2022,Overseas
Tushar Deshpande,Bowler,2000000,DC,2020,Indian
Tushar Deshpande,Bowler,2000000,CSK,2022,Indian
Tymal Mills,Bowler,120000000,RCB,2017,Overseas
Tymal Mills,Bowler,15000000,MI,2022,Overseas
Umang Sharma,Batter,1000000,GL,2016,Indian
Umesh Yadav,Bowler,26000000,KKR,2014,Indian
Umesh Yadav,Bowler,42000000,RCB,2018,Indian
Umesh Yadav,Bowler,10000000,DC,2021,Indian
Umesh Yadav,Bowler,20000000,KKR,2022,Indian
Unmukt Chand,Batter,6500000,RR,2014,Indian
Utkarsh Singh,All-Rounder,2000000,PBKS,2021,Indian
Vaibhav Arora,Bowler,2000000,KKR,2021,Indian
Vaibhav Arora,Bowler,20000000,PBKS,2022,Indian
Vaibhav Rawal,All-Rounder,1000000,KKR,2015,Indian
Varun Aaron,Bowler,20000000,RCB,2014,Indian
Varun Aaron,Bowler,28000000,PBKS,2017,Indian
Varun Aaron,Bowler,24000000,RR,2019,Indian
Varun Aaron,Bowler,5000000,GT,2022,Indian
Varun Chakaravarthy,All-Rounder,84000000,PBKS,2019,Indian
Varun Chakaravarthy,All-Rounder,40000000,KKR,2020,Indian
Veer Pratap Singh,Bowler,4000000,KKR,2014,Indian
Venkatesh Iyer,All-Rounder,2000000,KKR,2021,Indian
Venugopal Rao,Batter,5500000,SRH,2014,Indian
Vicky Ostwal,All-Rounder,2000000,DC,2022,Indian
Vijay Shankar,All-Rounder,1000000,CSK,2014,Indian
Vijay Shankar,All-Rounder,3500000,SRH,2016,Indian
Vijay Shankar,All-Rounder,32000000,DC,2018,Indian
Vijay Shankar,All-Rounder,14000000,GT,2022,Indian
Vijay Zol,Batter,3000000,RCB,2014,Indian
Vikas Tokas,Bowler,1000000,RCB,2016,Indian
Vikramjeet Malik,Bowler,2000000,RR,2014,Indian
Vikramjeet Malik,Bowler,2000000,RCB,2016,Indian
Virat Singh,Batter,19000000,SRH,2020,Indian
Virender Sehwag,Batter,32000000,PBKS,2014,Indian
Vishnu Vinod,Batter,2000000,DC,2021,Indian
Vishnu Vinod,Batter,5000000,SRH,2022,Indian
Wanindu Hasaranga,All-Rounder,107500000,RCB,2022,Overseas
Washington Sundar,All-Rounder,87500000,SRH,2022,Indian
Wayne Parnell,Bowler,10000000,DC,2014,Overseas
Wriddhiman Saha,Batter,22000000,PBKS,2014,Indian
Wriddhiman Saha,Batter,50000000,SRH,2018,Indian
Wriddhiman Saha,Batter,12000000,SRH,2019,Indian
Wriddhiman Saha,Batter,19000000,GT,2022,Indian
Writtick Chatterjee,All-Rounder,2000000,PBKS,2022,Indian
Yash Dayal,Bowler,32000000,GT,2022,Indian
Yash Dhull,All-Rounder,5000000,DC,2022,Indian
Yashasvi Jaiswal,All-Rounder,24000000,RR,2020,Indian
Yogesh Gowalkar,All-Rounder,1000000,PBKS,2015,Indian
Yogesh Takawale,Batter,1000000,RCB,2014,Indian
Yudhvir Charak,All-Rounder,2000000,MI,2021,Indian
Yusuf Pathan,All-Rounder,32500000,KKR,2014,Indian
Yusuf Pathan,All-Rounder,19000000,SRH,2018,Indian
Yuvraj Singh,All-Rounder,140000000,RCB,2014,Indian
Yuvraj Singh,Batter,160000000,DC,2015,Indian
Yuvraj Singh,All-Rounder,70000000,SRH,2016,Indian
Yuvraj Singh,All-Rounder,20000000,PBKS,2018,Indian
Yuvraj Singh,All-Rounder,10000000,MI,2019,Indian
Yuzvendra Chahal,Bowler,65000000,RR,2022,Indian
Yuzvendra Singh Chahal,Bowler,1000000,RCB,2014,Indian
Yuzvendra Singh Chahal,Bowler,60000000,RCB,2018,Indian
Zaheer Khan,Bowler,26000000,MI,2014,Indian
Zaheer Khan,Bowler,40000000,DC,2015,Indian
Zahir Khan Pakteen,Bowler,6000000,RR,2018,Indian
